지점코드,대유역,지점명,관할기관,경도,위도,X,Y
50074020,영산강,영암군(장천초교),환경부,126-34-54,34-45-20,161697.77464829996,240056.33536566485
40024060,섬진강,임실군(청웅면사무소),환경부,127-12-04,35-34-10,218230.98273893443,330290.9640902963
12014010,한강서해,아라인천TM,한국수자원공사,126-37-6,37-33-50,166279.66639143482,551663.4710719566
40094170,섬진강,구례군(문수리),환경부,127-31-44,35-17-35,248108.758902893,299735.71060945874
20084170,낙동강,군위군(군위댐),한국수자원공사,128-47-38,36-07-20,361501.8116019218,393097.1574504576
10144172,한강,화천천,한국수력원자력,127-42-16,38-06-32,261781.86507250555,612320.7985797558
20124037,낙동강,포항시(죽장면),한국수자원공사,129-04-33,36-11-59,386704.181348631,402204.01551870094
40024010,섬진강,강진,환경부,127-09-55,35-31-37,214990.54960508263,325569.51366449235
10104172,한강,용신교,한국수력원자력,127-42-16,38-06-32,261781.86507250555,612320.7985797558
20124190,낙동강,포항시(지동리),한국수자원공사,129-03-58,36-08-13,385977.9710868562,395217.9960268715
20084180,낙동강,군위군(양지리),한국수자원공사,128-49-37,36-10-00,364385.27738163783,398085.0151388454
50024010,영산강,장성,환경부,126-48-28,35-19-02,182520.36482761378,302305.5714690627
20021276,낙동강,청송군,기상청,129-2-31,36-25-55,383111.5381691385,427912.7270611744
53021252,영산강서해,영광군,기상청,126-28-40,35-17-2,152492.30455135045,298715.47879692784
31014050,삽교천,예당,한국농어촌공사,126-30-00,37-54-00,156024.0636235152,589018.3184113802
10094020,한강,화천군(풍산리),한국수자원공사,127-48-50,38-17-07,271208.613704402,631978.96856311
33014030,만경ㆍ동진,경천,한국농어촌공사,127-14-20,36-01-16,221533.38044128864,380413.5226849497
20044060,낙동강,경천댐,한국농어촌공사,128-18-46,36-41-37,317322.6862538354,455814.7264135785
40044020,섬진강,순창,환경부,127-08-25,35-22-18,212747.5331529628,308338.09616628516
32034020,금강서해,보령시(미산초교),환경부,126-40-40,36-17-19,171053.43794913142,410117.599041257
10134045,한강,목동교,한국수력원자력,127-32-54,37-52-59,248238.02925395238,587161.4486014775
50024051,영산강,장성군(평림댐),한국수자원공사,126-40-57,35-17-07,171116.90983329233,298790.736643419
22014084,한강,울산시(천전리),한국수자원공사,129-10-08,35-37-07,396507.49143246945,337894.15855041426
20024170,낙동강,청송군(성재리),한국수자원공사,128-57-53,36-14-24,376618.81008467113,406465.9345022537
50014070,영산강,담양군(담양홍수조절지),한국수자원공사,126-58-02,35-20-06,197020.02283713236,304261.4969462969
53024010,영산강서해,목포,환경부,126-23-00,34-47-00,143557.25965876153,243231.46898574155
21014070,형산강,경주시(서천교),환경부,129-12-06,35-50-17,398930.9765629034,362314.165240587
24011115,낙동강동해,울릉도,기상청,130-53-56,37-28-51,544918.7199560719,549524.2200768403
10144165,한강,홍천강(성포교),한국수력원자력,127-58-27,37-45-48,285838.74557817035,574178.2772884602
30034040,금강,무주군(구천정수장),환경부,127-46-37,35-53-09,270153.6845419201,365655.77567729
40074147,섬진강,광곡교,한국수력원자력,127-04-25,34-47-42,206736.54043142044,244354.9185902186
20044140,낙동강,봉화군(상운초),한국수자원공사,128-45-15,36-49-49,356494.60758322466,471614.15686472086
20124118,낙동강,영천시(영천댐),한국수자원공사,129-02-17,36-04-23,383600.94804822444,388074.07333164895
12011102,한강서해,백령도,기상청,124-37-47,37-57-57,-8298.467787045782,598859.079211328
10104174,한강,약수교,한국수력원자력,128-02-35,38-10-03,291406.57198533154,619106.3628129252
33034030,만경ㆍ동진,부안군(부안댐),한국수자원공사,126-34-18,35-40-43,161223.67960027338,342469.1544096399
20184100,낙동강,산청군(홍계리),환경부,127-50-31,35-21-05,276530.46717252384,306404.6523266282
20124060,낙동강,신천,환경부,128-37-05,35-47-50,346268.6172685061,356753.2564790265
13014020,한강,인제군(한계령),환경부,128-24-18,38-05-52,323243.5562676424,611785.5301965879
30114120,금강,초평,환경부,127-31-54,36-50-49,247419.4181936193,472159.3682519164
40044070,섬진강,곡성군(괴소리),환경부,127-13-33,35-13-40,220558.63726342155,292388.5265723541
30074040,금강,보은,환경부,127-44-00,36-28-00,265728.8216833188,430077.5543575453
30121239,금강,세종,기상청,127-14-5,36-29-9,221032.8697243411,431980.04215551843
40074145,섬진강,보성교,한국수력원자력,127-05-40,34-46-14,208645.65901588305,241644.72924668237
50024040,영산강,장성군(월평리),환경부,126-46-37,35-17-26,179709.8897379735,299352.87408435054
10124175,한강,지내천,한국수력원자력,127-46-54,37-55-19,268728.94028333283,591624.3085977982
20181264,낙동강,함양군,기상청,127-44-42,35-30-39,267584.9447186135,324024.6535368153
40074146,섬진강,죽동교,한국수력원자력,127-00-05,34-47-34,200127.10793418405,244105.92383475596
21011283,형산강,경주시,기상청,129-12-3,35-49-1,398908.37475162535,359969.52153116354
10104170,한강,수입천,한국수력원자력,127-54-05,38-10-59,278974.77616891783,620702.8822958464
33014040,만경ㆍ동진,대아,한국농어촌공사,127-15-47,35-58-57,223723.32408032016,376134.8685028068
33034040,만경ㆍ동진,부안군(부안청림천문대),한국수자원공사,126-36-55,35-39-28,165162.6924298652,340141.28140150686
20221257,낙동강,양산시,기상청,129-1-12,35-18-25,383723.5913961382,303020.5930275162
24034020,낙동강동해,포항시(문덕3교),환경부,129-24-23,35-57-06,417121.2141095111,375359.4553392887
20084080,낙동강,우보,환경부,128-39-46,36-11-31,349564.4429926232,400624.6819134905
40074126,섬진강,웅치,한국수력원자력,127-00-21,34-41-56,200534.45770014438,233690.2873997123
30134030,금강,탑정,한국농어촌공사,127-09-00,36-10-32,213494.5189285072,397534.83267295535
10024100,한강,평창군(계촌리),환경부,128-20-44,37-27-15,319056.91168211924,540267.4805060122
25041255,낙동강남해,북창원,기상청,128-40-19,35-13-33,352215.5096747354,293430.6578978772
10164075,한강,경안교,한국수력원자력,127-15-06,37-23-33,222285.61941751832,532602.848137832
20124210,낙동강,영천시(굼이교),한국수자원공사,128-55-22,36-08-57,373047.6296996639,396309.4397368184
10014260,한강,송천1교,한국수력원자력,128-42-35,37-40-05,350849.1942591701,564531.9751031081
22014082,한강,울산시(구미리),한국수자원공사,129-11-46,35-39-24,398879.9250508087,342172.2646578618
31014195,삽교천,신대교,한국농어촌공사,126-47-07,36-34-10,180779.97902118857,441254.10726132686
40074092,섬진강,보성강댐,한국수력원자력,127-09-14,34-47-02,214085.0761888256,243130.6098005855
20104060,낙동강,김천시(김천부항댐),한국수자원공사,128-00-21,35-58-56,290711.4487189242,376539.8868042357
20184350,낙동강,산청군(장천리),한국수자원공사,127-59-28,35-24-32,290025.8256805169,312909.9606904097
20044130,낙동강,봉화군(도촌초),한국수자원공사,128-41-10,36-52-45,350326.8520456975,476930.9547253584
10144180,한강,홍천강(한덕교),한국수력원자력,127-36-48,37-40-20,254109.72985762492,563795.8364944195
23014011,회야ㆍ수영,울산시(선암댐),한국수자원공사,129-19-53,35-30-57,411503.11133243836,326824.7557986526
32034010,금강서해,보령시(미산면사무소),환경부,126-40-39,36-12-39,170999.75880198774,401487.1355637528
50044010,영산강,영산포,환경부,126-47-54,34-59-38,181588.8373852824,266435.49455818644
22014090,태화강,울산시(사연교),환경부,129-12-16,35-34-20,399844.7852499011,332817.65000514797
10124180,한강,춘천시(소양강댐),한국수자원공사,127-48-54,37-56-56,271633.70425110386,594640.1889303668
20194075,낙동강,고성군(두문교),환경부,128-11-27,35-05-55,308581.08821158676,278683.7978672707
51014070,탐진강,탐진댐,한국수자원공사,126-53-38,34-45-09,190284.23235045618,239642.77902540122
40074127,섬진강,장평,한국수력원자력,126-55-59,34-47-56,193873.84910538164,244785.91278780112
41054030,섬진강남해,광양시(수어댐),한국수자원공사,127-43-14,35-01-46,265755.22249493026,270598.8127262854
20124200,낙동강,영천시(보현산댐),한국수자원공사,128-56-56,36-07-40,375445.50914220844,393982.5326954882
40074143,만경ㆍ동진,화순군(맹리),한국수자원공사,127-05-44,35-10-32,208704.42141232014,286575.58059064066
10194030,한강,아라김포TM,한국수자원공사,126-47-57,37-36-0,182264.92382362703,555621.8862608238
30084010,금강,옥천,환경부,127-35-55,36-17-50,253770.02576594907,411191.2333848843
31014070,삽교천,아산,한국농어촌공사,127-00-44,36-46-48,201091.04674241663,464598.3972820792
10214020,한강,연천군(횡산리),한국수자원공사,126-59-12,38-06-59,198830.75382258065,612918.9687784971
30074050,금강,보은군(관기초교),환경부,127-49-19,36-26-08,273700.6349905605,426689.2039044895
10124110,한강,인제군(진동리),환경부,128-24-46,37-57-52,324150.7270984944,596995.180311018
10044282,한강,내속리,한국수력원자력,127-48-40,36-30-38,272659.1879676864,435003.8128273702
13034010,한강동해,삼척시(심포리),환경부,129-01-59,37-11-40,380514.1117844954,512528.8255533361
31011101,삽교천,홍성,기상청,126-41-16,36-39-28,172084.48473315974,451080.4472582515
13024010,한강동해,강릉시(소금강분소),환경부,128-42-45,37-49-21,350780.52843556623,581680.4324033121
50034080,영산강,화순군(화순홍수조절지),한국수자원공사,126-59-04,34-55-38,198578.70563475,259021.03300942836
50024050,영산강,장성군(수산리),한국수자원공사,126-40-15,35-18-14,170062.43913355362,300859.0357536472
10104173,한강,지촌천,한국수력원자력,127-38-13,38-06-32,255861.85323678755,612278.028403928
40074020,섬진강,복내,환경부,127-07-28,34-53-21,211375.60546952035,254806.14749908412
10014190,한강,삼척시(광동댐),한국수자원공사,128-58-01,37-20-12,374315.211156541,528191.5939964213
20024190,낙동강,청송군(무계리),한국수자원공사,128-58-58,36-11-01,378370.10719763243,400240.7881308457
50044020,영산강,도암,환경부,126-43-56,34-59-04,175550.40079584898,265401.9005663694
31014192,삽교천,예산군(은사교),환경부,126-46-45,36-33-39,180230.7718705142,440299.7731595286
40074140,섬진강,화순군(동가리),한국수자원공사,127-03-58,34-57-48,206037.85373738347,263029.0699628187
31014180,삽교천,송석,한국농어촌공사,126-56-42,36-41-05,195084.2192198025,454026.51125062874
20221253,낙동강,김해시,기상청,128-53-34,35-13-37,372320.37281417585,293914.8574597811
10034060,한강,제천시(덕주휴게소),환경부,128-05-19,36-51-49,297073.5441362971,474430.28471442027
40074090,섬진강,보성군(보성강댐),한국수자원공사,127-08-50,34-48-08,213471.9098713969,245163.5386179844
31014190,삽교천,예산2,한국농어촌공사,126-50-07,36-40-05,185274.30362759478,452188.21621393925
12024010,한강서해,안산시(안산호동초교),환경부,126-51-54,37-18-46,188032.82114461568,523733.759775916
30074030,금강,보은군(삼산초교),환경부,127-42-60,36-29-06,264219.83262469753,432100.77640246914
40074030,만경ㆍ동진,보성,환경부,127-05-37,35-45-45,208465.5589584567,351696.452595755
12024020,한강서해,안산시(장상동),환경부,126-52-51,37-21-04,189441.74574650178,527986.2569964604
20191263,낙동강,의령군,기상청,128-17-16,35-19-22,317098.66537278274,303665.9253420868
31014198,삽교천,배약교,한국농어촌공사,126-50-56,36-36-42,186481.2499002794,445928.6810878864
10044270,한강,송면,한국수력원자력,127-51-50,36-40-16,277226.9630544421,452862.37348194316
41011258,섬진강남해,보성군,기상청,127-12-43,34-45-46,219403.7085336241,240798.29052192788
20184120,낙동강,수곡2,환경부,127-56-05,35-11-45,285126.56441575417,289221.3372084754
10011217,한강,정선군,기상청,128-38-45,37-22-51,345769.8280879195,532549.5679787704
31014040,삽교천,삽교호,한국농어촌공사,126-49-46,36-53-16,184796.27668144464,476572.4990366768
20214140,낙동강,울산시(이천리),한국수자원공사,129-00-53,35-33-52,382660.68463695503,331585.91455688945
20121176,낙동강,대구(기),기상청,128-39-7,35-52-41,349180.8998573466,365774.5336992193
13014010,한강동해,양양군(갈천리),환경부,128-30-14,37-54-30,332258.272437689,590891.982826763
31014170,삽교천,대흥,한국농어촌공사,126-48-54,36-38-16,183455.05004477277,448831.5551919143
10034070,한강,단양군(올산리),환경부,128-22-20,36-50-24,322402.565216181,472135.7122778628
20014150,낙동강,현동,한국수자원공사,128-58-31,36-50-11,376208.6804725678,472677.4682590817
20024070,낙동강,진보2,환경부,129-02-50,36-31-35,383362.1121253887,438405.04297027434
24014010,낙동강동해,영양군(신원리),환경부,129-12-35,36-45-42,397317.2627627434,464841.68856800045
10044286,한강,후영교,한국수력원자력,127-48-44,36-42-17,272576.55863204855,456552.01704435505
22014060,태화강,울산시(대암댐),한국수자원공사,129-10-59,35-32-43,397971.7477581741,329784.2164628428
30074130,금강,보은군(삼가분교),환경부,127-51-39,36-29-28,277132.6773268545,432884.69307010697
10014197,한강,태백시(상사미동),한국수자원공사,128-59-30,37-16-49,376638.3153781763,521978.2763883255
20124035,낙동강,포항시(가사리),한국수자원공사,129-09-25,36-11-85,393982.6598119049,403164.8331043023
30114110,금강,옥산,환경부,127-21-42,36-40-28,232329.3438812635,452945.5029417048
10214030,한강,연천군(군남댐),한국수자원공사,127-01-16,38-06-13,201851.62898222913,611500.7803808048
20014160,낙동강,태백시(소도동),환경부,128-57-08,37-07-21,373500.60081398673,504392.15131572937
20044120,낙동강,영주시(영주댐),한국수자원공사,128-39-19,36-43-36,347870.6711697101,459957.292481804
22014054,태화강,울산시(사연댐),한국수자원공사,129-11-46,35-34-40,399075.447869144,333417.3049830763
41051266,섬진강남해,광양시,기상청,127-41-27,34-56-34,263109.3127900806,260964.5666423983
20184020,낙동강,마천2,환경부,127-40-00,35-23-40,260565.7429228612,311060.2941625841
20084110,낙동강,군위군(고로면),환경부,128-44-56,36-06-22,357482.2965580015,391235.3257524534
40041254,섬진강,순창군,기상청,127-7-44,35-22-15,211712.70470625765,308244.2326678115
31014060,삽교천,궁평,한국농어촌공사,127-00-00,36-44-00,200000.0,459419.58352205565
52011268,영산강남해,진도군,기상청,126-15-30,34-28-23,131862.75035940998,208887.5232356735
20214135,낙동강,경주시(대현리),한국수자원공사,129-00-53,35-43-36,382291.6188741834,349588.4665558757
10104030,한강,양구군(방산초교),환경부,127-56-35,38-12-37,282594.7009087183,623760.9793928445
10044285,한강,고성교,한국수력원자력,127-45-48,36-39-58,268242.0947150149,452231.2618525303
10044280,한강,미원,한국수력원자력,127-39-36,36-37-22,259037.01743558663,447353.9018899464
13024030,한강동해,동해시(달방댐),한국수자원공사,129-01-25,37-30-49,378915.93009861564,547939.2372987252
30014030,금강,용담,환경부,127-32-10,35-56-39,248372.02603972796,371982.3125023829
30054020,금강,영동군(궁촌리),환경부,127-55-03,36-06-28,282613.56283037167,390393.4963102386
10194020,한강,귤현보,한국수자원공사,126-46-2,37-34-9,179435.50806606835,552206.2424417089
32034060,금강서해,보령시(도화담리),한국수자원공사,126-40-48,36-17-11,171252.25494800913,409870.3482702976
10154035,한강,산장제1교,한국수력원자력,127-24-37,37-45-18,236155.3412626843,572885.6911943668
41011259,섬진강남해,강진군,기상청,126-46-8,34-37-33,178806.6821972628,225610.1846752966
33014060,만경ㆍ동진,대천,환경부,127-04-40,35-53-47,207021.89364625645,366550.95979657164
41054050,섬진강남해,광양시(어치리),한국수자원공사,127-40-41,35-04-35,261841.36517538756,275779.85423190915
53021172,영산강서해,고창,기상청,126-35-56,35-20-56,163539.3022886453,305875.77128284634
20184360,낙동강,산청군(향양리),한국수자원공사,127-51-44,35-33-16,278177.03864195466,328950.14474655053
20024180,낙동강,청송군(갈천리),한국수자원공사,128-56-49,36-11-44,375119.5607214945,401501.11010361917
10104171,한강,양구서천,한국수력원자력,127-59-03,38-06-28,286316.1387253521,612420.5915744656
51014150,탐진강,병영,환경부,126-49-09,34-42-52,183434.90261193132,235430.81769257062
30124120,금강,우성,환경부,127-02-36,36-28-57,203883.15457377897,431585.4039910045
10044284,한강,압항천,한국수력원자력,127-43-56,36-42-10,265429.6450646552,456278.6435792248
33014050,만경ㆍ동진,동상,한국농어촌공사,127-16-27,35-57-11,224734.54968206605,372870.50836466625
40074082,섬진강,장흥군(봉동리),한국수자원공사,127-00-34,34-46-43,200864.4817484466,242534.36097222194
